x_m,y_m,s_m,track_width_m
7.58833,11.87861,9.83870,0.4500
7.58844,11.85861,9.85870,0.4500
7.58852,11.83862,9.87870,0.4500
7.58860,11.81862,9.89869,0.4500
7.58868,11.79862,9.91869,0.4500
7.58876,11.77862,9.93869,0.4500
7.58884,11.75863,9.95869,0.4500
7.58892,11.73863,9.97868,0.4500
7.58900,11.71863,9.99868,0.4500
7.58908,11.69863,10.01868,0.4500
7.58916,11.67864,10.03868,0.4500
7.58924,11.65864,10.05868,0.4500
7.58932,11.63864,10.07867,0.4500
7.58940,11.61864,10.09867,0.4500
7.58951,11.59864,10.11867,0.4500
7.58963,11.57865,10.13867,0.4500
7.58974,11.55865,10.15866,0.4500
7.58982,11.53865,10.17866,0.4500
7.58990,11.51865,10.19866,0.4500
7.58998,11.49866,10.21866,0.4500
7.59006,11.47866,10.23866,0.4500
7.59014,11.45866,10.25865,0.4500
7.59022,11.43866,10.27865,0.4500
7.59030,11.41867,10.29865,0.4500
7.59038,11.39867,10.31865,0.4500
7.59046,11.37867,10.33864,0.4500
7.59054,11.35867,10.35864,0.4500
7.59062,11.33868,10.37864,0.4500
7.59070,11.31868,10.39864,0.4500
7.59081,11.29868,10.41864,0.4500
7.59093,11.27868,10.43863,0.4500
7.59104,11.25869,10.45863,0.4500
7.59112,11.23869,10.47863,0.4500
7.59120,11.21869,10.49863,0.4500
7.59128,11.19869,10.51863,0.4500
7.59136,11.17869,10.53862,0.4500
7.59144,11.15870,10.55862,0.4500
7.59152,11.13870,10.57862,0.4500
7.59160,11.11870,10.59862,0.4500
7.59168,11.09870,10.61861,0.4500
7.59176,11.07871,10.63861,0.4500
7.59184,11.05871,10.65861,0.4500
7.59192,11.03871,10.67861,0.4500
7.59200,11.01871,10.69861,0.4500
7.59211,10.99872,10.71860,0.4500
7.59223,10.97872,10.73860,0.4500
7.59234,10.95872,10.75860,0.4500
7.59242,10.93872,10.77860,0.4500
7.59250,10.91873,10.79859,0.4500
7.59258,10.89873,10.81859,0.4500
7.59266,10.87873,10.83859,0.4500
7.59274,10.85873,10.85859,0.4500
7.59282,10.83874,10.87859,0.4500
7.59290,10.81874,10.89858,0.4500
7.59298,10.79874,10.91858,0.4500
7.59306,10.77874,10.93858,0.4500
7.59314,10.75874,10.95858,0.4500
7.59322,10.73875,10.97857,0.4500
7.59330,10.71875,10.99857,0.4500
7.59341,10.69875,11.01857,0.4500
7.59353,10.67875,11.03857,0.4500
7.59364,10.65876,11.05857,0.4500
7.59372,10.63876,11.07856,0.4500
7.59380,10.61876,11.09856,0.4500
7.59388,10.59876,11.11856,0.4500
7.59396,10.57877,11.13856,0.4500
7.59404,10.55877,11.15856,0.4500
7.59412,10.53877,11.17855,0.4500
7.59420,10.51877,11.19855,0.4500
7.59428,10.49878,11.21855,0.4500
7.59436,10.47878,11.23855,0.4500
7.59444,10.45878,11.25854,0.4500
7.59452,10.43878,11.27854,0.4500
7.59460,10.41879,11.29854,0.4500
7.59471,10.39879,11.31854,0.4500
7.59483,10.37879,11.33854,0.4500
7.59494,10.35879,11.35853,0.4500
7.59502,10.33880,11.37853,0.4500
7.59510,10.31880,11.39853,0.4500
7.59518,10.29880,11.41853,0.4500
7.59526,10.27880,11.43852,0.4500
7.59534,10.25880,11.45852,0.4500
7.59542,10.23881,11.47852,0.4500
7.59550,10.21881,11.49852,0.4500
7.59558,10.19881,11.51852,0.4500
7.59566,10.17881,11.53851,0.4500
7.59574,10.15882,11.55851,0.4500
7.59582,10.13882,11.57851,0.4500
7.59590,10.11882,11.59851,0.4500
7.59598,10.09882,11.61850,0.4500
7.59606,10.07883,11.63850,0.4500
7.59615,10.05883,11.65850,0.4500
7.59627,10.03883,11.67850,0.4500
7.59639,10.01883,11.69850,0.4500
7.59648,9.99884,11.71849,0.4500
7.59656,9.97884,11.73849,0.4500
7.59664,9.95884,11.75849,0.4500
7.59672,9.93884,11.77849,0.4500
7.59680,9.91884,11.79848,0.4500
7.59688,9.89885,11.81848,0.4500
7.59696,9.87885,11.83848,0.4500
7.59703,9.85885,11.85848,0.4500
7.59711,9.83885,11.87848,0.4500
7.59719,9.81886,11.89847,0.4500
7.59727,9.79886,11.91847,0.4500
7.59735,9.77886,11.93847,0.4500
7.59745,9.75886,11.95847,0.4500
7.59757,9.73887,11.97847,0.4500
7.59769,9.71887,11.99846,0.4500
7.59778,9.69887,12.01846,0.4500
7.59786,9.67887,12.03846,0.4500
7.59794,9.65888,12.05846,0.4500
7.59802,9.63888,12.07845,0.4500
7.59810,9.61888,12.09845,0.4500
7.59818,9.59888,12.11845,0.4500
7.59826,9.57889,12.13845,0.4500
7.59834,9.55889,12.15845,0.4500
7.59842,9.53889,12.17844,0.4500
7.59850,9.51889,12.19844,0.4500
7.59858,9.49889,12.21844,0.4500
7.59866,9.47890,12.23844,0.4500
7.59875,9.45890,12.25843,0.4500
7.59887,9.43890,12.27843,0.4500
7.59899,9.41890,12.29843,0.4500
7.59908,9.39891,12.31843,0.4500
